Гeнeрaтoр примeрoв пo aлгeбрe (c) Алоян

Вариант №1
(x*28+168)*9+2772=21168,  x = 67
(x*28+168)*9-2772=21168,  x = 89
(x*28+168)/9+2772=21168,  x = 5907
(x*28+168)/9-2772=21168,  x = 7689
(x*28-168)*9+2772=21168,  x = 79
(x*28-168)*9-2772=21168,  x = 101
(x*28-168)/9+2772=21168,  x = 5919
(x*28-168)/9-2772=21168,  x = 7701
(x/28+168)*9+2772=21168,  x = 52528
(x/28+168)*9-2772=21168,  x = 69776
(x/28+168)/9+2772=21168,  x = 4631088
(x/28+168)/9-2772=21168,  x = 6028176
(x/28-168)*9+2772=21168,  x = 61936
(x/28-168)*9-2772=21168,  x = 79184
(x/28-168)/9+2772=21168,  x = 4640496
(x/28-168)/9-2772=21168,  x = 6037584

Вариант №2
(x*16+64)*21+7728=50400,  x = 123
(x*16+64)*21-7728=50400,  x = 169
(x*16+64)/21+7728=50400,  x = 56003
(x*16+64)/21-7728=50400,  x = 76289
(x*16-64)*21+7728=50400,  x = 131
(x*16-64)*21-7728=50400,  x = 177
(x*16-64)/21+7728=50400,  x = 56011
(x*16-64)/21-7728=50400,  x = 76297
(x/16+64)*21+7728=50400,  x = 31488
(x/16+64)*21-7728=50400,  x = 43264
(x/16+64)/21+7728=50400,  x = 14336768
(x/16+64)/21-7728=50400,  x = 19529984
(x/16-64)*21+7728=50400,  x = 33536
(x/16-64)*21-7728=50400,  x = 45312
(x/16-64)/21+7728=50400,  x = 14338816
(x/16-64)/21-7728=50400,  x = 19532032

Вариант №3
(x*29+87)*22+8294=98252,  x = 138
(x*29+87)*22-8294=98252,  x = 164
(x*29+87)/22+8294=98252,  x = 68241
(x*29+87)/22-8294=98252,  x = 80825
(x*29-87)*22+8294=98252,  x = 144
(x*29-87)*22-8294=98252,  x = 170
(x*29-87)/22+8294=98252,  x = 68247
(x*29-87)/22-8294=98252,  x = 80831
(x/29+87)*22+8294=98252,  x = 116058
(x/29+87)*22-8294=98252,  x = 137924
(x/29+87)/22+8294=98252,  x = 57390681
(x/29+87)/22-8294=98252,  x = 67973825
(x/29-87)*22+8294=98252,  x = 121104
(x/29-87)*22-8294=98252,  x = 142970
(x/29-87)/22+8294=98252,  x = 57395727
(x/29-87)/22-8294=98252,  x = 67978871

Вариант №4
(x*35+70)*17+4165=54145,  x = 82
(x*35+70)*17-4165=54145,  x = 96
(x*35+70)/17+4165=54145,  x = 24274
(x*35+70)/17-4165=54145,  x = 28320
(x*35-70)*17+4165=54145,  x = 86
(x*35-70)*17-4165=54145,  x = 100
(x*35-70)/17+4165=54145,  x = 24278
(x*35-70)/17-4165=54145,  x = 28324
(x/35+70)*17+4165=54145,  x = 100450
(x/35+70)*17-4165=54145,  x = 117600
(x/35+70)/17+4165=54145,  x = 29735650
(x/35+70)/17-4165=54145,  x = 34692000
(x/35-70)*17+4165=54145,  x = 105350
(x/35-70)*17-4165=54145,  x = 122500
(x/35-70)/17+4165=54145,  x = 29740550
(x/35-70)/17-4165=54145,  x = 34696900

Вариант №5
(x*31+155)*23+9269=114080,  x = 142
(x*31+155)*23-9269=114080,  x = 168
(x*31+155)/23+9269=114080,  x = 77758
(x*31+155)/23-9269=114080,  x = 91512
(x*31-155)*23+9269=114080,  x = 152
(x*31-155)*23-9269=114080,  x = 178
(x*31-155)/23+9269=114080,  x = 77768
(x*31-155)/23-9269=114080,  x = 91522
(x/31+155)*23+9269=114080,  x = 136462
(x/31+155)*23-9269=114080,  x = 161448
(x/31+155)/23+9269=114080,  x = 74725438
(x/31+155)/23-9269=114080,  x = 87943032
(x/31-155)*23+9269=114080,  x = 146072
(x/31-155)*23-9269=114080,  x = 171058
(x/31-155)/23+9269=114080,  x = 74735048
(x/31-155)/23-9269=114080,  x = 87952642

Вариант №6
(x*29+87)*4+1972=4292,  x = 17
(x*29+87)*4-1972=4292,  x = 51
(x*29+87)/4+1972=4292,  x = 317
(x*29+87)/4-1972=4292,  x = 861
(x*29-87)*4+1972=4292,  x = 23
(x*29-87)*4-1972=4292,  x = 57
(x*29-87)/4+1972=4292,  x = 323
