Генератор примеров по алгебре (с) Алоян

Вариант №1  (x*28+168):9-2772=21168
Вариант №2  (x*16-64):21+7728=50400
Вариант №3  (x:29-87)*22-8294=98252
Вариант №4  (x*35-70)*17-4165=54145
Вариант №5  (x*31+155):23+9269=114080
Вариант №6  (x*29-87)*4+1972=4292
Вариант №7  (x*31+93):25-6200=126325
Вариант №8  (x*31+62)*11+4433=21142
Вариант №9  (x*15-30):23+1035=33810
Вариант №10  (x*12-24):17-2040=19176
Вариант №11  (x*38+190)*25-8550=158650
Вариант №12  (x:27+54)*19+6156=49248
Вариант №13  (x*32-96)*14+2240=38976
Вариант №14  (x:11-22)*5-990=2310
Вариант №15  (x*27+81)*11+3564=27027
Вариант №16  (x*18-36):12-3672=16416
Вариант №17  (x*22-88):5+990=7920
Вариант №18  (x*13+26)*24+8736=53040
Вариант №19  (x:22-88)*25+3850=95150
Вариант №20  (x*29-116):11-1276=24882
Вариант №21  (x*23+115)*4-1656=6808
Вариант №22  (x*22-88):13+2574=21736
Вариант №23  (x*32+128)*24+19968=138240
Вариант №24  (x:13-156)*4+988=4212
Вариант №25  (x*35+175):8-4480=17920
Вариант №26  (x*11+33):20-2420=21340
Вариант №27  (x:15-30)*12+720=16920
Вариант №28  (x*27+162)*7+1890=17388
Вариант №29  (x:36-72)*21-2268=71064
Вариант №30  (x*17-68):22+7106=68442
Вариант №31  (x*32-96)*29-23200=172608
Вариант №32  (x:34+68)*19+17442=68476
Вариант №33  (x*13+39)*18+5850=22932
Вариант №34  (x:22+44)*12+7128=22176
Вариант №35  (x:17-51)*20+3740=32300
Вариант №36  (x*34-102):27-11934=111996
Вариант №37  (x*36-108):26-11232=117936
Вариант №38  (x:16+80)*6-1920=5568
Вариант №39  (x*33-99)*20-4620=58740
Вариант №40  (x*15-30):14+3990=18060
Вариант №41  (x*30-90)*20-3600=52200
Вариант №42  (x:39-195)*8-7176=23400
Вариант №43  (x:20+60)*27+2160=69660
Вариант №44  (x:20+40)*17-3400=27540
Вариант №45  (x:16+48)*26-3328=56160
Вариант №46  (x*12-24):17+3468=17748
Вариант №47  (x:26-78)*20+5200=47840
Вариант №48  (x:17-34)*27+2754=63801
Вариант №49  (x*17+51):29+4930=70006
Вариант №50  (x*30+90)*23+17940=100050
Вариант №51  (x*37+74):16+10656=54464
Вариант №52  (x*32-96)*13-5824=35776
Вариант №53  (x:38-114)*12+11400=41952
Вариант №54  (x:20+60)*27+13500=80460
Вариант №55  (x*22-44):19+7106=40964
Вариант №56  (x*30-90):22+4620=63360
Вариант №57  (x*30-90)*21+16380=97650
Вариант №58  (x:12+36)*10-2880=9960
Вариант №59  (x:30+90)*27-7290=127980
Вариант №60  (x*15-45)*18-6480=26730
Вариант №61  (x*27-81):24-1944=104976
Вариант №62  (x*32-96):13-11648=36192
Вариант №63  (x:23-46)*9+4968=19665
Вариант №64  (x*20-40):26+6760=85800
Вариант №65  (x:14+42)*29+10150=69426
Вариант №66  (x*29-116):24-12528=121800
Вариант №67  (x:35+140)*28-4900=174440
Вариант №68  (x*33-165)*12-4356=37620
Вариант №69  (x*14-56):5-1470=4410
Вариант №70  (x:10+20)*19+3040=18050
Вариант №71  (x*13-39)*16-6032=19968
Вариант №72  (x*15+60)*27-2835=73305
Вариант №73  (x:25-50)*18-10800=44550
Вариант №74  (x:33+132)*7-3927=13398
Вариант №75  (x*32-128)*12+10752=36864
Вариант №76  (x:37+111)*24+18648=163392
Вариант №77  (x:39-156)*14+6006=46956
Вариант №78  (x*20-60)*8+480=8160
Вариант №79  (x*38+76)*10+1900=18620
Вариант №80  (x*31+62):10-3410=17670
Вариант №81  (x:38+152)*11-6688=30096
Вариант №82  (x:30+60)*13+10530=31200
Вариант №83  (x*14+42):27-10206=51786
Вариант №84  (x*17+34):29-7395=69020
Вариант №85  (x:24-96)*10+5520=22080
Вариант №86  (x:28-84)*22-4928=60368
Вариант №87  (x:18-90)*4+1656=3672
Вариант №88  (x:11-33)*27-5643=42471
Вариант №89  (x*38+152):5+3230=13300
Вариант №90  (x:13-26)*24-3120=46800
Вариант №91  (x*14-28)*28+9408=59976
Вариант №92  (x*39-156):23+10764=139932
Вариант №93  (x:35+175)*10-3150=26950
Вариант №94  (x*10-40)*10-1800=7000
Вариант №95  (x*11-33):16+3168=14960
Вариант №96  (x*39-78)*23-10764=143520
Вариант №97  (x*38-114)*4-912=5928
Вариант №98  (x:21-63)*20+5880=41580
Вариант №99  (x*29+87):21+12180=99267
Вариант №100  (x*31+93)*23+20677=118358
